0,0,59,125,79,
1,0,61,127,79,
2,0,74,134,80,
3,0,60,126,79,
4,0,76,136,81,
5,0,183,201,91,
6,0,170,193,90,
7,0,76,135,81,
8,0,75,135,81,
9,0,76,136,81,
10,0,61,126,79,
11,0,61,126,79,
12,0,75,135,81,
13,0,93,146,82,
14,0,186,204,92,
15,0,202,213,93,
16,0,199,211,93,
17,0,186,203,92,
18,0,198,211,93,
19,0,201,213,93,
20,0,185,202,91,
21,0,105,153,84,
22,0,170,193,90,
23,0,199,212,93,
24,0,200,212,93,
25,0,198,210,93,
26,0,186,204,92,
27,0,184,202,91,
28,0,92,146,82,
29,0,59,122,80,
30,0,50,95,82,
31,0,47,87,83,
32,0,47,87,83,
33,0,48,95,82,
34,0,74,131,81,
35,0,183,202,91,
36,0,202,213,93,
37,0,185,203,92,
38,0,92,145,82,
39,0,89,144,82,
40,0,170,193,90,
41,0,200,212,93,
42,0,200,212,93,
43,0,170,193,90,
44,0,105,153,84,
45,0,186,203,92,
46,0,184,202,91,
47,0,75,135,81,
48,0,60,126,79,
49,0,76,136,81,
50,0,76,136,81,
51,0,61,127,79,
52,0,59,124,79,
53,0,57,120,79,
54,0,76,135,81,
55,0,183,201,91,
56,0,170,193,90,
57,0,76,135,81,
58,0,72,133,80,
59,0,75,135,81,
60,0,169,193,90,
61,0,183,201,91,
62,0,76,136,81,
63,0,58,125,79,
0,1,58,124,79,
1,1,75,135,81,
2,1,153,183,88,
3,1,74,134,80,
4,1,74,134,80,
5,1,155,184,89,
6,1,87,143,82,
7,1,75,135,81,
8,1,168,192,90,
9,1,169,193,90,
10,1,73,134,80,
11,1,73,134,80,
12,1,167,192,90,
13,1,184,202,91,
14,1,183,202,91,
15,1,183,202,91,
16,1,169,193,90,
17,1,102,152,83,
18,1,172,195,90,
19,1,200,212,93,
20,1,199,211,93,
21,1,172,194,90,
22,1,102,152,83,
23,1,172,195,90,
24,1,201,212,93,
25,1,185,202,91,
26,1,104,153,83,
27,1,168,192,90,
28,1,156,185,89,
